Session_ID,Zone,Transformer_ID,EV_Type,Battery_Capacity_kWh,Arrival_SoC_perc,Target_SoC_perc,Energy_Requested_kWh,Charger_Type_kW,Plug_In_Time,Estimated_Plug_Out,Grid_Limit_Alert
SESS_01342,Whitefield,TX_WHI_003,Commercial,80.0,20.5,100,63.6,80.0,2026-05-04 04:29:00,2026-05-04 05:21:28,0
SESS_04119,Whitefield,TX_WHI_002,2W,4.0,15.64,80,2.57,3.3,2026-05-04 04:32:00,2026-05-04 05:23:29,0
SESS_00640,Indiranagar,TX_IND_002,2W,3.7,5.0,100,3.52,3.3,2026-05-04 04:54:00,2026-05-04 06:04:18,0
SESS_03586,Koramangala,TX_KOR_003,4W,60.0,24.17,80,33.5,7.2,2026-05-04 05:08:00,2026-05-04 10:15:02,0
SESS_02286,Hebbal,TX_HEB_002,2W,3.7,17.64,100,3.05,3.3,2026-05-04 05:17:00,2026-05-04 06:17:56,0
SESS_04220,Electronic City,TX_ELE_005,4W,45.0,15.35,90,33.59,25.0,2026-05-04 05:35:00,2026-05-04 07:03:41,0
SESS_01051,Indiranagar,TX_IND_004,2W,3.7,9.42,80,2.61,3.3,2026-05-04 05:42:00,2026-05-04 06:34:13,0
SESS_04248,Koramangala,TX_KOR_002,2W,2.9,27.93,100,2.09,3.3,2026-05-04 05:46:00,2026-05-04 06:27:48,0
SESS_00858,Hebbal,TX_HEB_007,4W,60.0,21.04,100,47.37,7.2,2026-05-04 05:57:00,2026-05-04 13:11:15,0
SESS_02426,Indiranagar,TX_IND_005,2W,3.7,43.67,90,1.71,3.3,2026-05-04 06:01:00,2026-05-04 06:35:16,0
SESS_00027,Hebbal,TX_HEB_003,4W,60.0,38.0,100,37.2,7.2,2026-05-04 06:03:00,2026-05-04 11:43:58,0
SESS_03689,Koramangala,TX_KOR_007,4W,30.0,17.99,80,18.6,7.2,2026-05-04 06:06:00,2026-05-04 08:56:31,0
SESS_00753,Hebbal,TX_HEB_001,Commercial,120.0,37.29,100,75.25,120.0,2026-05-04 06:07:00,2026-05-04 06:48:23,0
SESS_03918,Electronic City,TX_ELE_004,2W,3.7,23.37,80,2.1,3.3,2026-05-04 06:15:00,2026-05-04 06:56:54,0
SESS_03528,Hebbal,TX_HEB_003,2W,4.0,11.97,90,3.12,3.3,2026-05-04 06:15:00,2026-05-04 07:17:25,0
SESS_00626,Indiranagar,TX_IND_008,2W,2.9,7.78,90,2.38,3.3,2026-05-04 06:16:00,2026-05-04 07:03:41,0
SESS_04742,Electronic City,TX_ELE_002,2W,4.0,21.14,90,2.75,3.3,2026-05-04 06:19:00,2026-05-04 07:14:05,0
SESS_03049,Hebbal,TX_HEB_003,2W,3.7,13.19,90,2.84,3.3,2026-05-04 06:20:00,2026-05-04 07:16:50,0
SESS_03418,Whitefield,TX_WHI_005,2W,3.7,26.22,80,1.99,3.3,2026-05-04 06:22:00,2026-05-04 07:01:47,0
SESS_01853,Koramangala,TX_KOR_001,2W,4.0,21.08,100,3.16,3.3,2026-05-04 06:24:00,2026-05-04 07:27:08,0
SESS_04324,Electronic City,TX_ELE_005,4W,45.0,23.83,100,34.28,7.2,2026-05-04 06:24:00,2026-05-04 11:38:12,0
SESS_00848,Electronic City,TX_ELE_005,2W,4.0,21.55,100,3.14,3.3,2026-05-04 06:27:00,2026-05-04 07:29:45,0
SESS_02033,Whitefield,TX_WHI_005,2W,3.7,20.82,80,2.19,3.3,2026-05-04 06:29:00,2026-05-04 07:12:47,0
SESS_03211,Hebbal,TX_HEB_003,4W,72.0,16.87,90,52.66,50.0,2026-05-04 06:29:00,2026-05-04 07:38:30,0
SESS_04073,Whitefield,TX_WHI_005,2W,4.0,14.46,90,3.02,3.3,2026-05-04 06:31:00,2026-05-04 07:31:25,0
SESS_04067,Whitefield,TX_WHI_005,4W,72.0,28.99,90,43.93,7.2,2026-05-04 06:32:00,2026-05-04 13:14:39,0
SESS_01683,Indiranagar,TX_IND_001,2W,4.0,27.94,100,2.88,3.3,2026-05-04 06:33:00,2026-05-04 07:30:38,0
SESS_04553,Hebbal,TX_HEB_001,2W,4.0,28.64,100,2.85,3.3,2026-05-04 06:42:00,2026-05-04 07:39:05,0
SESS_03410,Indiranagar,TX_IND_004,4W,45.0,21.45,80,26.35,25.0,2026-05-04 06:43:00,2026-05-04 07:52:33,0
SESS_01314,Whitefield,TX_WHI_005,2W,4.0,24.3,90,2.63,3.3,2026-05-04 06:49:00,2026-05-04 07:41:33,0
SESS_04674,Hebbal,TX_HEB_005,2W,3.7,40.65,90,1.83,3.3,2026-05-04 06:50:00,2026-05-04 07:26:31,0
SESS_03463,Indiranagar,TX_IND_004,2W,2.9,14.64,90,2.19,3.3,2026-05-04 06:55:00,2026-05-04 07:38:42,0
SESS_04563,Indiranagar,TX_IND_005,2W,3.7,36.16,100,2.36,3.3,2026-05-04 06:56:00,2026-05-04 07:43:14,0
SESS_02176,Koramangala,TX_KOR_007,2W,2.9,17.49,100,2.39,3.3,2026-05-04 06:57:00,2026-05-04 07:44:51,0
SESS_00096,Electronic City,TX_ELE_001,2W,3.7,17.22,100,3.06,3.3,2026-05-04 06:58:00,2026-05-04 07:59:15,0
SESS_03946,Hebbal,TX_HEB_005,Commercial,80.0,36.01,90,43.19,80.0,2026-05-04 06:58:00,2026-05-04 07:33:37,0
SESS_03996,Hebbal,TX_HEB_002,Commercial,200.0,21.74,100,156.52,120.0,2026-05-04 07:00:00,2026-05-04 08:26:05,0
SESS_02686,Indiranagar,TX_IND_001,4W,72.0,22.71,100,55.65,7.2,2026-05-04 07:02:00,2026-05-04 15:32:07,0
SESS_02417,Hebbal,TX_HEB_003,4W,45.0,20.86,100,35.61,25.0,2026-05-04 07:02:00,2026-05-04 08:36:00,0
SESS_00874,Hebbal,TX_HEB_006,4W,60.0,17.46,90,43.52,7.2,2026-05-04 07:03:00,2026-05-04 13:41:57,0
SESS_01450,Whitefield,TX_WHI_004,Commercial,200.0,25.14,100,149.71,80.0,2026-05-04 07:05:00,2026-05-04 09:08:30,0
SESS_01774,Indiranagar,TX_IND_008,2W,4.0,10.53,90,3.18,3.3,2026-05-04 07:07:00,2026-05-04 08:10:34,0
SESS_00258,Indiranagar,TX_IND_008,2W,4.0,36.27,80,1.75,3.3,2026-05-04 07:09:00,2026-05-04 07:43:59,0
SESS_03719,Koramangala,TX_KOR_004,2W,3.7,22.79,100,2.86,3.3,2026-05-04 07:10:00,2026-05-04 08:07:07,0
SESS_04357,Electronic City,TX_ELE_005,2W,4.0,17.26,100,3.31,3.3,2026-05-04 07:11:00,2026-05-04 08:17:11,0
SESS_04832,Whitefield,TX_WHI_003,4W,60.0,16.88,100,49.87,7.2,2026-05-04 07:11:00,2026-05-04 14:48:10,0
SESS_04359,Electronic City,TX_ELE_001,4W,60.0,31.3,80,29.22,7.2,2026-05-04 07:15:00,2026-05-04 11:42:52,0
SESS_01622,Electronic City,TX_ELE_005,4W,45.0,29.35,100,31.79,7.2,2026-05-04 07:16:00,2026-05-04 12:07:26,0
SESS_01930,Indiranagar,TX_IND_007,4W,45.0,21.93,100,35.13,50.0,2026-05-04 07:16:00,2026-05-04 08:02:22,0
SESS_00546,Whitefield,TX_WHI_003,2W,4.0,23.56,100,3.06,3.3,2026-05-04 07:16:00,2026-05-04 08:17:09,0
SESS_00390,Koramangala,TX_KOR_003,4W,30.0,7.96,90,24.61,25.0,2026-05-04 07:16:00,2026-05-04 08:20:58,0
SESS_01796,Indiranagar,TX_IND_008,4W,72.0,16.4,80,45.79,7.2,2026-05-04 07:17:00,2026-05-04 14:16:46,0
SESS_04328,Electronic City,TX_ELE_004,2W,2.9,12.71,90,2.24,3.3,2026-05-04 07:19:00,2026-05-04 08:03:49,0
SESS_04544,Electronic City,TX_ELE_002,4W,45.0,47.75,100,23.51,7.2,2026-05-04 07:20:00,2026-05-04 10:55:31,0
SESS_04094,Electronic City,TX_ELE_004,2W,3.7,26.03,90,2.37,3.3,2026-05-04 07:20:00,2026-05-04 08:07:20,0
SESS_00076,Hebbal,TX_HEB_006,2W,2.9,27.66,100,2.1,3.3,2026-05-04 07:22:00,2026-05-04 08:03:57,0
SESS_00940,Hebbal,TX_HEB_003,2W,4.0,24.88,100,3.0,3.3,2026-05-04 07:25:00,2026-05-04 08:25:05,0
SESS_04407,Electronic City,TX_ELE_004,Commercial,200.0,35.28,100,129.43,120.0,2026-05-04 07:26:00,2026-05-04 08:37:11,0
SESS_02863,Electronic City,TX_ELE_003,2W,4.0,25.3,80,2.19,3.3,2026-05-04 07:26:00,2026-05-04 08:09:45,0
SESS_03955,Whitefield,TX_WHI_003,4W,60.0,50.28,100,29.83,7.2,2026-05-04 07:29:00,2026-05-04 12:02:27,0
SESS_02980,Whitefield,TX_WHI_004,2W,4.0,21.65,90,2.73,3.3,2026-05-04 07:31:00,2026-05-04 08:25:40,0
SESS_00754,Electronic City,TX_ELE_003,2W,4.0,11.67,100,3.53,3.3,2026-05-04 07:31:00,2026-05-04 08:41:40,0
SESS_04003,Electronic City,TX_ELE_005,2W,4.0,33.92,90,2.24,3.3,2026-05-04 07:31:00,2026-05-04 08:15:51,0
SESS_01836,Indiranagar,TX_IND_004,2W,4.0,24.28,100,3.03,3.3,2026-05-04 07:35:00,2026-05-04 08:35:34,0
SESS_04250,Koramangala,TX_KOR_002,4W,72.0,30.21,100,50.25,7.2,2026-05-04 07:37:00,2026-05-04 15:17:35,0
SESS_04934,Koramangala,TX_KOR_008,2W,2.9,24.78,90,1.89,3.3,2026-05-04 07:38:00,2026-05-04 08:15:49,0
SESS_03187,Hebbal,TX_HEB_004,2W,4.0,24.52,80,2.22,3.3,2026-05-04 07:39:00,2026-05-04 08:23:23,0
SESS_04730,Electronic City,TX_ELE_005,2W,3.7,29.3,100,2.62,3.3,2026-05-04 07:41:00,2026-05-04 08:33:18,0
SESS_04571,Indiranagar,TX_IND_007,4W,45.0,39.75,100,27.11,7.2,2026-05-04 07:43:00,2026-05-04 11:51:31,0
SESS_01480,Electronic City,TX_ELE_003,2W,2.9,26.06,90,1.85,3.3,2026-05-04 07:45:00,2026-05-04 08:22:05,0
SESS_00941,Hebbal,TX_HEB_007,4W,45.0,5.0,100,42.75,7.2,2026-05-04 07:46:00,2026-05-04 14:17:52,0
SESS_02002,Whitefield,TX_WHI_004,2W,4.0,23.97,80,2.24,3.3,2026-05-04 07:46:00,2026-05-04 08:30:49,0
SESS_02531,Koramangala,TX_KOR_005,2W,4.0,42.47,80,1.5,3.3,2026-05-04 07:47:00,2026-05-04 08:17:01,0
SESS_04753,Indiranagar,TX_IND_003,2W,3.7,12.76,80,2.49,3.3,2026-05-04 07:48:00,2026-05-04 08:37:45,0
SESS_01424,Hebbal,TX_HEB_006,2W,4.0,10.09,100,3.6,3.3,2026-05-04 07:50:00,2026-05-04 09:01:55,0
SESS_04825,Hebbal,TX_HEB_002,2W,4.0,48.24,90,1.67,3.3,2026-05-04 07:50:00,2026-05-04 08:23:24,0
SESS_01809,Electronic City,TX_ELE_004,4W,72.0,32.98,100,48.25,7.2,2026-05-04 07:50:00,2026-05-04 15:12:19,0
SESS_03146,Indiranagar,TX_IND_003,2W,3.7,30.09,100,2.59,3.3,2026-05-04 07:51:00,2026-05-04 08:42:44,0
SESS_00033,Koramangala,TX_KOR_004,4W,60.0,26.65,80,32.01,7.2,2026-05-04 07:51:00,2026-05-04 12:44:25,0
